timestamp, name, driver_version, temperature.gpu, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.free [MiB], memory.used [MiB]
2024/04/19 16:39:48.807, NVIDIA GeForce RTX 2080 Ti, 525.125.06, 31, 0 %, 0 %, 11264 MiB, 11002 MiB, 8 MiB
2024/04/19 16:39:50.808, NVIDIA GeForce RTX 2080 Ti, 525.125.06, 79, 99 %, 40 %, 11264 MiB, 4400 MiB, 6610 MiB
2024/04/19 16:39:50.809, NVIDIA GeForce RTX 2080 Ti, 525.125.06, 37, 0 %, 0 %, 11264 MiB, 11002 MiB, 8 MiB
2024/04/19 16:39:50.810, NVIDIA GeForce RTX 2080 Ti, 525.125.06, 30, 0 %, 0 %, 11264 MiB, 11002 MiB, 8 MiB
2024/04/19 16:39:50.811, NVIDIA GeForce RTX 2080 Ti, 525.125.06, 31, 0 %, 0 %, 11264 MiB, 11002 MiB, 8 MiB
2024/04/19 16:39:52.812, NVIDIA GeForce RTX 2080 Ti, 525.125.06, 80, 99 %, 37 %, 11264 MiB, 4400 MiB, 6610 MiB
2024/04/19 16:39:52.812, NVIDIA GeForce RTX 2080 Ti, 525.125.06, 37, 0 %, 0 %, 11264 MiB, 11002 MiB, 8 MiB
2024/04/19 16:39:52.813, NVIDIA GeForce RTX 2080 Ti, 525.125.06, 30, 0 %, 0 %, 11264 MiB, 11002 MiB, 8 MiB
2024/04/19 16:39:52.814, NVIDIA GeForce RTX 2080 Ti, 525.125.06, 31, 0 %, 0 %, 11264 MiB, 11002 MiB, 8 MiB
2024/04/19 16:39:54.815, NVIDIA GeForce RTX 2080 Ti, 525.125.06, 79, 99 %, 39 %, 11264 MiB, 4400 MiB, 6610 MiB
2024/04/19 16:39:54.816, NVIDIA GeForce RTX 2080 Ti, 525.125.06, 37, 0 %, 0 %, 11264 MiB, 11002 MiB, 8 MiB
2024/04/19 16:39:54.816, NVIDIA GeForce RTX 2080 Ti, 525.125.06, 30, 0 %, 0 %, 11264 MiB, 11002 MiB, 8 MiB
2024/04/19 16:39:54.817, NVIDIA GeForce RTX 2080 Ti, 525.125.06, 31, 0 %, 0 %, 11264 MiB, 11002 MiB, 8 MiB
2024/04/19 16:39:56.818, NVIDIA GeForce RTX 2080 Ti, 525.125.06, 79, 99 %, 37 %, 11264 MiB, 4400 MiB, 6610 MiB
2024/04/19 16:39:56.819, NVIDIA GeForce RTX 2080 Ti, 525.125.06, 37, 0 %, 0 %, 11264 MiB, 11002 MiB, 8 MiB
2024/04/19 16:39:56.820, NVIDIA GeForce RTX 2080 Ti, 525.125.06, 30, 0 %, 0 %, 11264 MiB, 11002 MiB, 8 MiB
2024/04/19 16:39:56.821, NVIDIA GeForce RTX 2080 Ti, 525.125.06, 31, 0 %, 0 %, 11264 MiB, 11002 MiB, 8 MiB
2024/04/19 16:39:58.822, NVIDIA GeForce RTX 2080 Ti, 525.125.06, 80, 99 %, 39 %, 11264 MiB, 4400 MiB, 6610 MiB
